,cycle,time_charge,time_discharge,Discharge voltage_measured,Discharge current_measured,Charging Voltage,Charging Current,Power Out,Power In,Temp Discharge,Temp Charge,Output Energy,Input Energy,cap_ratio,imp_ratio
0,1,10289.312,3591.734,3.5520375235511934,-1.855345574557597,4.079851333950047,0.9411642330468539,6.629801301147044,3.8009337602827635,35.208398152248606,24.959153579571936,23797.592118799053,26642.736309210217,[1.],[1.]
1,2,10283.077999999994,3552.297,3.552566843689714,-1.874699527315097,4.0579037903875665,0.9612867786553306,6.697785341423941,3.850353712096643,36.348992899849286,25.413967851219933,23797.696583853434,27359.989408564004,[1.00021186],[0.98695233]
2,3,10281.39,3531.578,3.5567940383270416,-1.873827212788385,4.056383883924777,0.9632123836955052,6.697809763320811,3.8562859183936236,35.85711836166812,25.126171834654215,23666.577682505576,27345.396909251624,[0.99412646],[0.97671868]
3,4,10081.797,3492.907,3.5614100044534176,-1.883193546754683,4.058279288673893,0.9697506680439035,6.733348350966113,3.887255444494005,35.775393175295115,24.757206111244255,23539.48783867011,27153.28162717792,[0.98849759],[0.98587557]
4,5,10797.328,3511.594,3.5566107947817986,-1.873239184822504,4.065739463308083,0.9310567141504494,6.693232702740048,3.7361896335317697,35.49281592736457,24.37480541423285,23514.71473321822,26913.83564282247,[0.98813641],[0.97652689]
5,6,10099.218,3431.9370000000054,3.5586742170266286,-1.9139593751505892,4.061150152182104,0.9648375330851511,6.8322554830791375,3.870997634088548,36.821468590936355,24.560313527339748,23497.97292380358,26995.870555411257,[0.98838972],[0.98448867]
6,7,10078.719,3431.125,3.564103182686904,-1.9030532722310998,4.0606474772945464,0.9656310887431304,6.802122377734491,3.873552432403332,36.17635759766259,24.487944996143,23380.36922537393,27088.251890473035,[0.98213622],[0.96882745]
7,8,10617.375,3412.406,3.5595880635942723,-1.9134590742247914,4.067270138639279,0.9343625511181636,6.830274585472469,3.7528662423628254,36.63368690371852,24.146032159779153,23359.105963310725,26904.095311789635,[0.98253582],[0.97813848]
8,9,10564.157,3410.688,3.556833231052199,-1.9136209099025532,4.06627015738475,0.9378723891405094,6.82647670751501,3.7656001581696077,36.730704079670204,24.09626341084812,23333.476342307342,26866.75579035871,[0.98210279],[0.97620545]
9,10,10143.984,3410.718,3.562441085094898,-1.9025819745719064,4.063497194671532,0.9583515841331878,6.796596639594283,3.8474738735521696,36.18001195150193,24.26971809333679,23222.908888644994,26822.541580867335,[0.97603698],[0.96665155]
10,11,10790.452999999994,3392.719,3.559140710685569,-1.9130621638638965,4.070367166586395,0.9239853993122304,6.826858306685603,3.7139572933260774,36.721704166949216,24.07749665679479,23214.903024199524,26739.472720159876,[0.97674697],[0.95424236]
11,12,10442.891,3470.672,3.5573161327793152,-1.9206181171184116,4.070501721342654,0.9376239238395184,6.8573908367107945,3.771229153535928,36.415963209818464,24.672648884861264,23840.06161986553,26863.960174005504,[1.00258608],[0.97299176]
12,13,10113.656,3414.109,3.5618707827727394,-1.9298830859597573,4.1307854909340795,0.6962458837408645,6.895459269597519,2.823674999637566,36.87707761650472,24.23518740787176,23585.608848435197,26988.506052338962,[0.99116301],[0.97422187]
